site_id,class,site_type,architecture,sectors,n78_64T64R_AAU,n78_8T8R_radio,n28_RRU,n1n3_or_n3_RRU,passive_antenna_2L4H,DU_at_site,CSR,fronthaul_gateway,NR_cells,avg_load_W,peak_load_W,rectifier_kW,battery_kWh,battery_modules_4.8kWh,grid_kVA,solar_PV_kWp
AMM-DU-0049,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0050,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0051,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0052,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0053,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0054,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0055,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0056,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0057,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0058,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0059,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0060,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0061,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0062,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0063,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0064,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0065,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0066,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0067,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0068,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0069,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0070,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0071,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0072,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0073,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0074,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0075,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0076,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0077,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0078,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0079,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0080,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0081,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0082,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0083,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0084,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0085,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0086,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0087,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0088,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0089,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0090,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0091,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0092,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0093,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0094,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0095,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0096,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0097,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0098,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0099,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0100,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0101,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0102,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0103,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0104,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0105,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0106,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0107,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0108,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0109,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0110,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0111,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0112,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0113,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0114,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0115,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0116,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0117,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0118,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0119,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0120,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0121,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0122,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0123,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0124,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0125,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0126,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0127,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0128,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0129,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
AMM-DU-0130,DU,Rooftop,C-RAN,3,3,0,3,3,3,0,0,1,18,6060,8530,21,33.6,7,15,0
