site,far_end_fiber_site,hop_km,radio_configuration,capacity,dish_m,antenna_gain_dBi,free_space_loss_dB,RSL_dBm,fade_margin_dB,rain_attenuation_0.01pct_dB,availability_99.99,terrain_line_of_sight,clearance_m_vs_0.6F1
RUR-R-0418,IRB-SU-0614,7.8,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.4,-25.4,34.6,11.9,OK,LOS,3
RUR-R-0419,IRB-SU-0586,3.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,127.7,-24.7,37.3,5.7,OK,LOS,13
RUR-R-0420,IRB-SU-0612,3.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,128.3,-25.3,36.7,6.0,OK,LOS,29
RUR-R-0422,RUR-R-0411,7.5,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.0,-25.1,34.9,11.5,OK,BLOCKED by 35 m: raise antennas or relay,-35
RUR-R-0423,RUR-R-0416,5.0,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.5,-28.5,33.5,8.3,OK,BLOCKED by 46 m: raise antennas or relay,-46
RUR-R-0424,RUR-R-0416,7.3,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.9,-24.9,35.1,11.3,OK,BLOCKED by 128 m: raise antennas or relay,-128
RUR-R-0425,IRB-SU-0614,4.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.4,-27.4,34.6,7.5,OK,LOS,9
RUR-R-0426,RUR-R-0429,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.6,34.4,7.6,OK,LOS,23
RUR-R-0427,RUR-R-0428,4.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.5,-27.5,34.5,7.5,OK,LOS,19
RUR-R-0431,IRB-SU-0720,3.9,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.3,-26.3,35.7,6.7,OK,LOS,31
RUR-R-0432,IRB-SU-0764,2.3,"E-band 80 GHz 1+0, 2 GHz channel",10 Gbps,0.6,51.4,137.8,-21.0,37.0,21.7,OK,LOS,22
RUR-R-0433,IRB-SU-0729,3.1,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,127.2,-24.3,37.7,5.4,OK,LOS,16
RUR-R-0434,NOR-SU-0018,4.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.0,-28.0,34.0,7.9,OK,BLOCKED by 38 m: raise antennas or relay,-38
RUR-R-0435,RUR-R-0429,4.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.1,-28.1,33.9,8.0,OK,LOS,36
RUR-R-0436,RUR-R-0430,4.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.4,-27.4,34.6,7.5,OK,LOS,50
RUR-R-0437,IRB-SU-0765,6.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,133.8,-30.8,31.2,10.3,OK,LOS,40
RUR-R-0438,IRB-SU-0768,5.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,132.4,-29.4,32.6,9.0,OK,LOS,2
RUR-R-0439,IRB-SU-0771,5.6,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,132.5,-29.5,32.5,9.1,OK,LOS,10
RUR-R-0440,IRB-SU-0764,6.9,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,134.4,-31.4,30.6,10.8,OK,LOS,23
RUR-R-0441,RUR-R-0430,7.5,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.1,-25.1,34.9,11.6,OK,BLOCKED by 49 m: raise antennas or relay,-49
RUR-R-0442,RUR-R-0430,9.3,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,137.0,-27.0,33.0,13.6,OK,BLOCKED by 20 m: raise antennas or relay,-20
RUR-R-0443,IRB-SU-0765,8.9,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.6,-26.6,33.4,13.2,OK,BLOCKED by 50 m: raise antennas or relay,-50
RUR-R-0444,IRB-SU-0770,9.0,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,136.7,-26.7,33.3,13.3,OK,LOS,16
