site,far_end_fiber_site,hop_km,radio_configuration,capacity,dish_m,antenna_gain_dBi,free_space_loss_dB,RSL_dBm,fade_margin_dB,rain_attenuation_0.01pct_dB,availability_99.99,terrain_line_of_sight,clearance_m_vs_0.6F1
RUR-R-0297,RUR-R-0311,7.8,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.4,-25.5,34.5,11.9,OK,LOS,39
RUR-R-0298,RUR-R-0311,11.7,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,138.9,-28.9,31.1,15.9,OK,LOS,38
RUR-R-0299,RUR-R-0355,15.9,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,141.6,-31.6,28.4,19.4,OK,LOS,26
RUR-R-0300,DEI-SU-0023,3.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,128.8,-25.8,36.2,6.4,OK,LOS,36
RUR-R-0301,DEI-SU-0023,7.3,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,134.9,-24.9,35.1,11.3,OK,LOS,43
RUR-R-0302,AJL-SU-0042,9.6,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,137.2,-27.2,32.8,13.9,OK,BLOCKED by 247 m: raise antennas or relay,-247
RUR-R-0303,JER-SU-0079,7.7,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.3,-25.3,34.7,11.8,OK,BLOCKED by 56 m: raise antennas or relay,-56
RUR-R-0304,RUR-R-0305,4.5,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.6,-27.6,34.4,7.6,OK,LOS,39
RUR-R-0306,JER-SU-0078,4.2,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.1,-27.1,34.9,7.2,OK,LOS,15
RUR-R-0307,JER-SU-0083,7.7,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.3,-25.4,34.6,11.8,OK,BLOCKED by 192 m: raise antennas or relay,-192
RUR-R-0308,AMM-SU-3438,10.5,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,138.0,-28.0,32.0,14.8,OK,BLOCKED by 113 m: raise antennas or relay,-113
RUR-R-0309,RUR-R-0295,8.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.7,-25.7,34.3,12.2,OK,BLOCKED by 0 m: raise antennas or relay,0
RUR-R-0310,RUR-R-0295,4.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.0,-28.1,33.9,7.9,OK,LOS,39
RUR-R-0312,RUR-R-0311,4.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,131.0,-28.1,33.9,7.9,OK,LOS,22
RUR-R-0313,RUR-R-0311,8.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.7,-25.8,34.2,12.2,OK,LOS,24
RUR-R-0314,RUR-R-0355,12.1,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,139.2,-29.2,30.8,16.3,OK,LOS,30
RUR-R-0315,RUR-R-0356,11.9,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,139.1,-29.1,30.9,16.1,OK,LOS,17
RUR-R-0316,RUR-R-0332,4.4,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,130.4,-27.4,34.6,7.5,OK,LOS,24
RUR-R-0317,RUR-R-0332,4.1,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,129.9,-26.9,35.1,7.1,OK,BLOCKED by 23 m: raise antennas or relay,-23
RUR-R-0318,RUR-R-0332,7.7,"18 GHz XPIC 2+0, 2 × 112 MHz, 2048-QAM",2.0 Gbps,1.2,44.5,135.3,-25.3,34.7,11.8,OK,LOS,11
RUR-R-0319,AJL-SU-0041,5.7,E-band + 18 GHz multiband (carrier-bonded),10 Gbps clear-sky / 1 Gbps guaranteed,0.9,42.0,132.6,-29.7,32.3,9.2,OK,BLOCKED by 205 m: raise antennas or relay,-205
